indice_tiempo,ind_burs_agrop,ind_burs_alim_beb,ind_burs_side,ind_burs_qui_otros,ind_burs_min_no_met,ind_burs_metalmec,ind_burs_bs_raices,ind_burs_const,ind_burs_energ,ind_burs_sspp,ind_burs_telecom,ind_burs_comer,ind_burs_fciero
2012-09-25,26.51570851613244,27.912670780415098,54.58949141047025,33.30613615799015,42.45737978455886,14.135191988510543,23.501674262277966,16.268735411021925,71.16369736534477,8.367219215863948,28.918150194618917,16.97216574466622,10.116362004483978
2012-09-26,26.518266775702354,27.81116045240455,54.435878536109,33.33500435690295,42.455002457553604,14.161723541098382,23.47661508964062,16.16459977073241,69.9380282021213,8.204236533813308,28.684868840491596,17.003485118581665,10.175553080806873
2012-09-27,26.45613494300264,27.795052984178124,54.0487716492798,33.36415131731719,42.34934426006639,14.255622185751637,23.453775552922384,16.048030834484337,69.14272305747079,8.066215953221452,28.496611372287628,17.043403892461257,10.23816273091952
2012-09-28,26.211904326060157,27.791795992405323,53.7842984878156,33.39218331434528,40.36359609330334,14.3450226045729,23.43714379525484,16.023331395788716,67.64049094062072,8.006212498511832,28.298473302889775,17.06591177146348,10.25702713454371
2012-09-29,26.211904326060157,27.791795992405323,53.7842984878156,33.39218331434528,40.36359609330334,14.3450226045729,23.43714379525484,16.023331395788716,67.64049094062072,8.006212498511832,28.298473302889775,17.06591177146348,10.25702713454371
2012-09-30,26.211904326060157,27.791795992405323,53.7842984878156,33.39218331434528,40.36359609330334,14.3450226045729,23.43714379525484,16.023331395788716,67.64049094062072,8.006212498511832,28.298473302889775,17.06591177146348,10.25702713454371
2012-10-01,26.277606802988977,27.823750250317406,55.057367214335265,33.47871039644821,37.66146465768434,14.41988917419518,23.42634362521984,16.10441580682135,67.6330765398048,7.938354077349297,28.10187255749337,17.067028060093097,10.30316985337047
2012-10-02,26.22372469820069,27.835623884932524,55.68254865390828,33.55007941093792,38.69987061077378,14.543362887316949,23.44834904586252,16.154566037607385,66.86291895055183,7.874985073765454,27.97924940085292,17.141595312799485,10.333678325797324
2012-10-03,26.246702570676728,27.850788552138198,56.10601073365247,33.619693331074664,38.64807788065497,14.605771595820299,23.47117118641154,15.952229134987432,66.25475986499657,7.806325993031465,27.93431135380411,17.16241410071242,10.38272139718077
2012-10-04,26.164370191481822,27.88401020623093,56.34058175907624,33.812726908101894,39.83403044687504,14.675794964856424,23.51267665048545,16.0238807938841,64.66495204631428,7.668414769045636,27.711357642082646,17.215143758762142,10.392061066391674
2012-10-05,26.057496671188,27.916243867689804,56.167608283756415,33.47873437013733,41.09987764317645,14.782593933694093,23.59460259965165,15.844268199707928,65.2828485443945,7.560289069970962,27.80175611514919,17.230193252442227,10.479259991906602
2012-10-06,26.057496671188,27.916243867689804,56.167608283756415,33.47873437013733,41.09987764317645,14.782593933694093,23.59460259965165,15.844268199707928,65.2828485443945,7.560289069970962,27.80175611514919,17.230193252442227,10.479259991906602
2012-10-07,26.057496671188,27.916243867689804,56.167608283756415,33.47873437013733,41.09987764317645,14.782593933694093,23.59460259965165,15.844268199707928,65.2828485443945,7.560289069970962,27.80175611514919,17.230193252442227,10.479259991906602
2012-10-08,25.483448908830468,27.947268662528785,56.10948965899652,33.734786202430236,41.37956516712486,14.894269296281394,23.67831238148609,15.782242929726578,64.1518649948553,7.483728308330848,27.9147086937126,17.22049185851597,10.544511599208429
2012-10-09,25.3783875725413,27.9614109248818,56.80701368263298,33.90879836730123,42.36377261082647,14.994726051893581,23.782060361939063,15.701397206592143,64.3262178551851,7.4372524232586255,28.132662857770864,17.181004245209245,10.577639635093051
2012-10-10,25.010239304083367,28.53317763103524,57.09776899158552,34.01067899831014,42.837584559391644,14.979962409211296,23.92574403039612,15.288654309428091,61.243233615914804,7.35912027610878,28.211430810411656,17.088785284938,10.595381650316732
2012-10-11,22.468713409716948,28.883449840808225,57.34103614109693,34.3100518201275,42.33880246910697,15.015820906084008,24.033260383368628,14.537609346806684,58.525359652059215,7.278722681227172,28.004800848490383,17.0148247165113,10.595928174077601
2012-10-12,22.882964706974185,28.935135650011812,58.50174823496293,34.43090758654471,42.27664056869483,15.09812237372491,24.11808425892892,14.380944073686528,58.474820189515405,7.173534758428049,27.936156331930608,16.974105148684863,10.628317744227676
2012-10-13,22.882964706974185,28.935135650011812,58.50174823496293,34.43090758654471,42.27664056869483,15.09812237372491,24.11808425892892,14.380944073686528,58.474820189515405,7.173534758428049,27.936156331930608,16.974105148684863,10.628317744227676
2012-10-14,22.882964706974185,28.935135650011812,58.50174823496293,34.43090758654471,42.27664056869483,15.09812237372491,24.11808425892892,14.380944073686528,58.474820189515405,7.173534758428049,27.936156331930608,16.974105148684863,10.628317744227676
2012-10-15,23.354310085522393,28.885853579179827,59.03185778403063,34.017760530421505,40.746371242104686,15.116039212175147,24.202429166474015,14.469493797636368,59.74877189915804,7.079953260799657,27.860860130211208,16.92978652244084,10.620517429966643
2012-10-16,23.25830504388811,28.88379251462624,59.17709103524477,34.14821401076489,39.718991004598905,15.139594560789764,24.256668286300837,14.628548616039431,62.295999806338166,7.036021888564246,27.94977617115954,16.923786864833907,10.640291622288593
2012-10-17,23.158919549367507,28.73481856381237,59.4173865341212,33.978374511440215,38.44313038580053,15.118375272947938,24.307826672209163,14.383827535080192,63.532279287453754,7.023023031952245,28.05288746382811,16.937065089402182,10.678518561493714
2012-10-18,23.240716552783834,28.300578038795436,59.1781404490046,33.95399627139047,38.00067506743816,15.17367265337221,23.9689565128697,14.64239995540719,65.36872621480623,6.997373906953259,28.01895448000025,16.949023753965754,10.70389921908865
2012-10-19,23.307477159120978,28.147172793227753,59.32178340474997,34.023339459236944,37.39540148558959,15.141612192884562,23.755258814338674,14.654349556007565,70.62949347035831,6.972423544927038,27.919663975785266,16.944561367815314,10.669840988255672
2012-10-20,23.307477159120978,28.147172793227753,59.32178340474997,34.023339459236944,37.39540148558959,15.141612192884562,23.755258814338674,14.654349556007565,70.62949347035831,6.972423544927038,27.919663975785266,16.944561367815314,10.669840988255672
2012-10-21,23.307477159120978,28.147172793227753,59.32178340474997,34.023339459236944,37.39540148558959,15.141612192884562,23.755258814338674,14.654349556007565,70.62949347035831,6.972423544927038,27.919663975785266,16.944561367815314,10.669840988255672
2012-10-22,23.185004220709747,27.901878924982785,59.435557997868834,34.10361650003826,36.65288690497819,15.161250996581108,23.270219688423886,14.668646004126881,78.76661951916576,6.944910537937361,27.83619389705604,16.98888739857698,10.650072494069631
2012-10-23,23.58070215161765,27.92737692260581,59.5173019715835,34.19499808961428,35.34339058419814,15.097921958011487,23.288415513397705,14.626800834465428,79.15723986411074,6.880941468073969,27.748754685871955,16.855901307666354,10.58943366679234
2012-10-24,23.2585316363156,27.82537388925907,59.19899741017081,34.04832052442954,34.63752654882775,15.068576670992154,23.213349685772204,14.52035580340436,81.22200479031288,6.815382877830444,28.8462607466088,16.755206092790683,10.545545522628025
2012-10-25,23.191084610894332,27.79364670184112,59.30272072346887,33.80781015367244,34.68320178433609,15.029180591352743,22.987454847809317,14.676443777298754,82.65061365675136,6.789271272056023,30.088243235326285,16.670462479373413,10.512770351434654
2012-10-26,23.240494891754164,27.75837467656116,59.451252081975326,33.68816580973005,33.218528766950456,15.013051515528545,21.11520713227227,14.504444674300746,85.35302980551124,6.766557764206765,31.24998349341636,16.5873826454828,10.515187262989226
2012-10-27,23.240494891754164,27.75837467656116,59.451252081975326,33.68816580973005,33.218528766950456,15.013051515528545,21.11520713227227,14.504444674300746,85.35302980551124,6.766557764206765,31.24998349341636,16.5873826454828,10.515187262989226
2012-10-28,23.240494891754164,27.75837467656116,59.451252081975326,33.68816580973005,33.218528766950456,15.013051515528545,21.11520713227227,14.504444674300746,85.35302980551124,6.766557764206765,31.24998349341636,16.5873826454828,10.515187262989226
2012-10-29,23.10384927535267,27.73717504175803,58.36152571394394,33.61280947948375,32.82602768225598,14.98282668134114,20.965163479099477,14.259291516962014,86.72851420578988,6.715915764599887,31.33047829671887,16.493728324254874,10.502789264185653
2012-10-30,23.509644938664415,27.71609193231906,57.64260584250605,33.48989729798299,31.071017790136505,14.897975763432127,20.59503156561597,13.065619499938483,88.29439459767656,6.644332261791406,31.383966732092013,16.35100106873034,10.482250973024701
2012-10-31,23.93407906733639,27.65720532909835,57.54810483074404,33.42077371063954,29.67372247831267,14.876960731167063,20.774514080821216,13.241134058406479,90.8211840764188,6.6599874835211725,31.33487314460702,16.186339174305225,10.468578614572113
2012-11-01,23.954909514083386,27.523097845048042,58.6093984969097,33.23846330149848,28.302472691091957,14.859198516358006,20.99376706315929,12.641188294801578,93.36160517520432,6.688070342871501,31.29292402946537,16.03822984498649,10.435588223895596
2012-11-02,24.013266949215435,27.46970259266974,59.662151458798355,33.14150959982155,27.751948925523703,14.80301937560402,21.19739933221524,12.437577570446722,97.35881177876144,6.650469407157954,31.630215050474092,15.945836019984673,10.389865713982454
